A.N. ELECTRICALS,1,0,1,114864355,"NO.13, OLD KIRULAPONA ROAD, NUGEGODA",0,0,0,0,0,1,0,1,0,0,0,0,0
ASHEN ELECTRICALS,1,0,1,0112620340/0773467666,"NO.130/2, HORANA ROAD, KESBEWA",0,0,0,0,0,1,0,1,0,0,0,0,0
ATHURUGIRIYA ELECTRICALS,1,0,1,713506915,"NO.123/4, KADUWELA ROAD, ATHURUGIRIYA",0,0,0,0,0,1,0,1,0,0,0,0,0
CASCADE ELECTRICALS,1,0,1,776119961,"NO.616, PUWAKPITIYA, AWISSAWELLA",0,0,0,0,0,1,0,1,0,0,0,0,0
CHANDANA HARDWARE STORES,1,0,1,112907931,"NO.441, TYRE JUNCTION, KANDY ROAD, DALUGAMA, KELANIYA",0,0,0,0,0,1,0,1,0,0,0,0,0
D & D ENTERPRICESS,1,0,1,779214619,"NO.148/1A/2, PAHALA HANWELLA, HANWELLA",0,0,0,0,0,1,0,1,0,0,0,0,0
DANESH ELECTRICALS,1,0,1,772993971,"NO.30, LAKE ROAD, BORALASGAMUWA",0,0,0,0,0,1,0,1,0,0,0,0,0
DAWOOD & SONS ,1,0,1,774179314,"NO.259, GALLE ROAD, MT.LAVINIA",0,0,0,0,0,1,0,1,0,0,0,0,0
DISANAYAKE ELECTRICALS,1,0,1,115615573,"NO.15, NAWALA ROAD, NUGEGODA",0,0,0,0,0,1,0,1,0,0,0,0,0
EXCELLENT HARDWARE,1,0,1,715154081,"NO.160, AMBALANDUWA, PANADURA",0,0,0,0,0,1,0,1,0,0,0,0,0
GAGANA ELECTRICALS,1,0,1,112741168,"NO.510B, THALANGAMA NORTH, BATTARAMULLA",0,0,0,0,0,1,0,1,0,0,0,0,0
GAMAGE ELECTRICALS ,1,0,1,703790702,"NO.100/2, COLOMBO ROAD, BOKUNDARA",0,0,0,0,0,1,0,1,0,0,0,0,0
GODAGAMA ELECTRICALS,1,0,1,773572319,"NO.494/2, HIGH LEVEL ROAD, GODAGAMA",0,0,0,0,0,1,0,1,0,0,0,0,0
GUNARATHNE ELECTRICALS,1,0,1,112851900,"NO.75, SUPER MARKET, MAHARAGAMA",0,0,0,0,0,1,0,1,0,0,0,0,0
GUNATHILAKA ELECTRICALS,1,0,1,714299050,"NO.776/3, PANNIPITIYA, PALAWATTA",0,0,0,0,0,1,0,1,0,0,0,0,0
HESHALI ELECTRICALS,1,0,1,765397678,"NO.01, MANKADA JUNCTION, BOMBUWALA, KALUTHARA SOUTH",0,0,0,0,0,1,0,1,0,0,0,0,0
HEYLI ELECTRICALS,1,0,1,112817877,"NO.133/23, HIGH LEVEL ROAD, KOTTAWA",0,0,0,0,0,1,0,1,0,0,0,0,0
HORANA ELECTRICALS,1,0,1,0719287936/ 0776783934,"NO.311/D, PANADURA ROAD, HORANA",0,0,0,0,0,1,0,1,0,0,0,0,0
INFATH HARDWARE,1,0,1,382288049,"NO.53, PANADURA ROAD, BANDARAGAMA",0,0,0,0,0,1,0,1,0,0,0,0,0
JAYALOKA ELECTRICALS,1,0,1,0112615665/ 0777905600,"NO.43, COLOMBO ROAD, PILIYANDALA",0,0,0,0,0,1,0,1,0,0,0,0,0
JAYASOMA ELECTRICALS,1,0,1,112561064,"MAIN STREET, ATHURUGIRIYA",0,0,0,0,0,1,0,1,0,0,0,0,0
JAYANTHA ELECTRICALS,1,0,1,0112783488/ 0760606253,"NO.454/1A,MAKUBURA,PANNIPITIYA",0,0,0,0,0,1,0,1,0,0,0,0,0
JAYANI ELECTRICALS,1,0,1,0772112450/0716108797,"AKURASSA ROAD, IMADUWA",0,0,0,0,0,1,0,1,0,0,0,0,0
KALYANI ELECTRICALS  TRADING,1,0,1,342247165,"NO.90A, AGALAWATHA ROAD, MATHUGAMA",0,0,0,0,0,1,0,1,0,0,0,0,0
LIYANAGE HARDWARE ,1,0,1,776499596,"NO.239/01, SIRISUMANA MAWATHA, MULLERIYAWA NEW TOWN",0,0,0,0,0,1,0,1,0,0,0,0,0
METRO LIGHT SHOP ,1,0,1,773402202,"NO.05, WARD STREET,GALLE",0,0,0,0,0,1,0,1,0,0,0,0,0
MEGA ELECTRICALS,1,0,1,0768979306/ 0347301301,"NO.297, PANADURA ROAD, HORANA",0,0,0,0,0,1,0,1,0,0,0,0,0
MISSION ELECTRICALS,1,0,1,0717599329/ 0777599329,"NO.18, AVISSAWELLA ROAD, MULLERIYAWA NEW TOWN (GALWANA JUNCTION)",0,0,0,0,0,1,0,1,0,0,0,0,0
