319,ROYAL HARDWARE,15,"NO.87, 14 ROAD, 15",Co-operate,0,525676565
318,NEW CITY ELECTRICALS,14,"NO.17/B, GOLF ROAD, OLD TOWN, DIGANA, RAJAWELLA",Co-operate,0,727470671
317,NEW JANATHA STEEL,14,DIGANA,Co-operate,0,
316,RIZNA HARDWARE,15,15,Co-operate,0,774418182
315,PRIYANTHA HARDWARE,22,"NO.16 MAIN STREET, BUTTALA",Co-operate,0,0
314,ASMA ELECTRICALS,14,AMBATHANNA,Co-operate,0,
313,KOTMALE HARDWARE,14,"NO.03, NEW TOWN, KOTMALE",Co-operate,0,574490082
312,MARASINGHE ELECTRICALS,21,"PELLIWINNA ROAD, KEPPATIPOLA",Co-operate,0,574490081
311,THASMIYA HARDWARE,15,"NO.17/1, 14 RD, NUWARAELIYA",Co-operate,0,752600802
310,CITY ELECTRICALS,14,"NO.365, AKURANA",Co-operate,0,777285850
309,SUMUDU TRADERS,14,"NO.06, DAULAGALA ROAD, GELIOYA",Co-operate,0,812310635
308,SADAMALI HARDWARE,14,"NO.73/1, ANKUMBURA ROAD, DOLAPIHILLA",Co-operate,0,779378895
307,UDADUMBARA STEEL,14,"NO.10/B, THELDENIYA ROAD, MADAWALA BAZAR",Co-operate,0,779630124
306,LANKA LIGHT ELECTRICALS,14,"14 ROAD, MEDAWALA",Co-operate,0,767053115
305,25 ELECTRICALS HOLDINGS,14,"NO.461, WILLIAM GOPALLAWA, 14",Co-operate,0,812220380
304,25 ELECTRICALS DSA,14,"DSA ELECTRICALS, NO.82, YATINUWARA STREET, 14",Co-operate,0,0
303,25 ELECTRICALS AGENCY,14,"NO.71, YATINUWARA STREET, 14",Co-operate,0,812224473
302,25 ELECTRICALS,14,"DIGANA ROAD, KUNDASALE",Co-operate,0,769359399
301,YOONUS ELECTRICALS,14,"NO.12, THELDENIYA ROAD, MADAWALA BAZAR",Co-operate,0,778880004
